GENUS,SPECIES
Alcaligenes,xylosoxidans
Alcaligenes,xylosoxidans
Alcanivorax,
Alcanivorax,balearicus
Alcanivorax,borkumensis
Alcanivorax,dieselolei
Alcanivorax,hongdengensis
Alcanivorax,jadensis
Alcanivorax,marinus
Alcanivorax,pacificus
Alcanivorax,venustensis
Alcanivorax,xenomutans
Algibacter,
Algibacter,aestuarii
Algibacter,agarilyticus
Algibacter,agarivorans
Algibacter,aquimarinus
Algibacter,lectus
Algibacter,mikhailovii
Algibacter,miyuki
Algibacter,pectinivorans
Algibacter,undariae
Algibacter,wandonensis
Algicola,
Algicola,bacteriolytica
Algicola,sagamiensis
Algimonas,
Algimonas,ampicilliniresistens
Algimonas,porphyrae
Algiphilus,
Algiphilus,aromaticivorans
Algisphaera,
Algisphaera,agarilytica
Algoriphagus,
Algoriphagus,alkaliphilus
Algoriphagus,antarcticus
Algoriphagus,aquaeductus
Algoriphagus,aquatilis
Algoriphagus,aquimarinus
Algoriphagus,boritolerans
Algoriphagus,boseongensis
Algoriphagus,chordae
Algoriphagus,chungangensis
Algoriphagus,faecimaris
Algoriphagus,halophilus
Algoriphagus,hitonicola
Algoriphagus,jejuensis
Algoriphagus,locisalis
Algoriphagus,lutimaris
Algoriphagus,machipongonensis
Algoriphagus,mannitolivorans
Algoriphagus,marincola
Algoriphagus,namhaensis
Algoriphagus,olei
Algoriphagus,ornithinivorans
Algoriphagus,ratkowskyi
Algoriphagus,taeanensis
Algoriphagus,taiwanensis
Algoriphagus,terrigena
Algoriphagus,vanfongensis
Algoriphagus,winogradskyi
Algoriphagus,yeomjeoni
Algoriphagus,zhangzhouensis
Aliagarivorans,
Aliagarivorans,marinus
Aliagarivorans,taiwanensis
Alicycliphilus,
Alicycliphilus,denitrificans
Alicyclobacillus,
Alicyclobacillus,acidiphilus
Alicyclobacillus,acidocaldarius
Alicyclobacillus,acidocaldarius
Alicyclobacillus,acidocaldarius
Alicyclobacillus,acidoterrestris
Alicyclobacillus,aeris
Alicyclobacillus,cellulosilyticus
Alicyclobacillus,consociatus
Alicyclobacillus,contaminans
Alicyclobacillus,cycloheptanicus
Alicyclobacillus,dauci
Alicyclobacillus,disulfidooxidans
Alicyclobacillus,fastidiosus
Alicyclobacillus,ferrooxydans
Alicyclobacillus,herbarius
Alicyclobacillus,hesperidum
Alicyclobacillus,kakegawensis
Alicyclobacillus,macrosporangiidus
Alicyclobacillus,pohliae
Alicyclobacillus,pomorum
Alicyclobacillus,sacchari
Alicyclobacillus,sendaiensis
Alicyclobacillus,shizuokensis
Alicyclobacillus,tolerans
Alicyclobacillus,vulcanalis
Aliicoccus,
Aliicoccus,persicus
Aliidiomarina,
Aliidiomarina,maris
Aliidiomarina,shirensis
Aliidiomarina,taiwanensis
Aliifodinibius,
Aliifodinibius,roseus
Aliifodinibius,sediminis
Aliiglaciecola,
Aliiglaciecola,lipolytica
Aliiglaciecola,litoralis
Aliivibrio,
Aliivibrio,finisterrensis
Aliivibrio,fischeri
Aliivibrio,logei
Aliivibrio,salmonicida
Aliivibrio,sifiae
Aliivibrio,wodanis
Alishewanella,
Alishewanella,aestuarii
Alishewanella,agri
Alishewanella,fetalis
Alishewanella,jeotgali
Alishewanella,solinquinati
Alishewanella,tabrizica
Alistipes,
Alistipes,finegoldii
Alistipes,indistinctus
Alistipes,onderdonkii
Alistipes,putredinis
Alistipes,shahii
Alistipes,timonensis
Alkalibacillus,
Alkalibacillus,almallahensis
Alkalibacillus,filiformis
Alkalibacillus,flavidus
Alkalibacillus,haloalkaliphilus
Alkalibacillus,halophilus
Alkalibacillus,salilacus
Alkalibacillus,silvisoli
Alkalibacter,
Alkalibacter,saccharofermentans
Alkalibacterium,
Alkalibacterium,gilvum
Alkalibacterium,iburiense
Alkalibacterium,indicireducens
Alkalibacterium,kapii
Alkalibacterium,olivapovliticus
Alkalibacterium,olivoapovliticus
Alkalibacterium,pelagium
Alkalibacterium,psychrotolerans
Alkalibacterium,putridalgicola
Alkalibacterium,subtropicum
Alkalibacterium,thalassium
Alkalibaculum,
Alkalibaculum,bacchi
Alkaliflexus,
Alkaliflexus,imshenetskii
Alkalilimnicola,
Alkalilimnicola,ehrlichii
Alkalilimnicola,halodurans
Alkalimonas,
Alkalimonas,amylolytica
Alkalimonas,collagenimarina
Alkalimonas,delamerensis
Alkaliphilus,
Alkaliphilus,crotonatoxidans
Alkaliphilus,halophilus
Alkaliphilus,oremlandii
Alkaliphilus,peptidifermentans
Alkaliphilus,transvaalensis
Alkalispirillum,
Alkalispirillum,mobile
Alkalitalea,
Alkalitalea,saponilacus
Alkanibacter,
Alkanibacter,difficilis
Alkanindiges,
Alkanindiges,illinoisensis
Allisonella,
Allisonella,histaminiformans
Alloactinosynnema,
Alloactinosynnema,album
Alloactinosynnema,iranicum
Allobacillus,
Allobacillus,halotolerans
Allobaculum,
Allobaculum,stercoricanis
Allocatelliglobosispora,
Allocatelliglobosispora,scoriae
Allochromatium,
Allochromatium,minutissimum
Allochromatium,phaeobacterium
Allochromatium,renukae
Allochromatium,vinosum
Allochromatium,warmingii
Allofustis,
Allofustis,seminis
Alloiococcus,
Alloiococcus,otitis
Allokutzneria,
Allokutzneria,albata
Allokutzneria,multivorans
Allokutzneria,oryzae
Allomonas,
Allomonas,enterica
Allonocardiopsis,
Allonocardiopsis,opalescens
Alloprevotella,
Alloprevotella,rava
Alloprevotella,tannerae
Allorhizobium,
Allorhizobium,undicola
Allosalinactinospora,
Allosalinactinospora,lopnorensis
Alloscardovia,
Alloscardovia,criceti
Alloscardovia,macacae
Alloscardovia,omnicolens
Alpinimonas,
Alpinimonas,psychrophila
Alsobacter,
Alsobacter,metallidurans
Altererythrobacter,
Altererythrobacter,aestiaquae
Altererythrobacter,aestuarii
Altererythrobacter,atlanticus
Altererythrobacter,dongtanensis
Altererythrobacter,epoxidivorans
Altererythrobacter,gangjinensis
Altererythrobacter,indicus
Altererythrobacter,ishigakiensis
Altererythrobacter,luteolus
Altererythrobacter,marensis
Altererythrobacter,marinus
Altererythrobacter,namhicola
Altererythrobacter,oceanensis
Altererythrobacter,troitsensis
Altererythrobacter,xiamenensis
Altererythrobacter,xinjiangensis
Alteribacillus,
Alteribacillus,bidgolensis
Alteribacillus,persepolensis
Alterococcus,
Alterococcus,agarolyticus
Alteromonas,
Alteromonas,addita
Alteromonas,atlantica
Alteromonas,aurantia
Alteromonas,australica
Alteromonas,carrageenovora
Alteromonas,citrea
Alteromonas,colwelliana
Alteromonas,communis
Alteromonas,denitrificans
Alteromonas,distincta
Alteromonas,elyakovii
Alteromonas,espejiana
Alteromonas,fuliginea
Alteromonas,genovensis
Alteromonas,halophila
Alteromonas,haloplanktis
Alteromonas,hanedai
Alteromonas,hispanica
Alteromonas,litorea
Alteromonas,luteoviolacea
Alteromonas,macleodii
Alteromonas,marina
Alteromonas,nigrifaciens
Alteromonas,putrefaciens
Alteromonas,rubra
Alteromonas,simiduii
Alteromonas,stellipolaris
Alteromonas,tagae
Alteromonas,tetraodonis
Alteromonas,undina
Alteromonas,vaga
Alysiella,
Alysiella,crassa
Alysiella,filiformis
Amantichitinum,
Amantichitinum,ursilacus
Amaricoccus,
Amaricoccus,kaplicensis
Amaricoccus,macauensis
Amaricoccus,tamworthensis
Amaricoccus,veronensis
Ameyamaea,
Ameyamaea,chiangmaiensis
Aminiphilus,
Aminiphilus,circumscriptus
Aminivibrio,
Aminivibrio,pyruvatiphilus
Aminobacter,
Aminobacter,aganoensis
Aminobacter,aminovorans
Aminobacter,anthyllidis
Aminobacter,ciceronei
Aminobacter,lissarensis
Aminobacter,niigataensis
Aminobacterium,
Aminobacterium,colombiense
Aminobacterium,mobile
Aminobacterium,thunnarium
